,Bajra(Pearl Millet/Cumbu),Barley(Jau),Foxtail Millet(Navane),Jowar(Sorghum),Kodo Millet(Varagu),Kutki,Maize,Paddy(Basmati),Paddy(Common),Ragi(Finger Millet),Rice,Wheat
2025-12-27,2770.54,2335.62,3003.0,3634.45,2005.89,3561.2799999999997,1708.78,3522.15,2490.93,3461.3499999999995,3484.38,2525.58
2025-12-28,2395.52,2317.78,3003.0,2859.06,2346.24,3504.0,1721.7,3357.0,2609.96,2612.0,3483.7399999999993,2497.14
2025-12-29,2409.43,2285.73,2074.32,4244.38,2190.45,3617.2699999999995,1690.55,3281.12,2405.8,3603.84,3502.04,2558.9
2025-12-30,2467.65,2205.12,2040.0,4241.18,2031.53,2932.17,1687.63,3226.86,2545.91,3637.88,3626.07,2566.04
2025-12-31,2388.45,2253.3,2600.0,3764.32,2078.14,3723.79,1716.78,3257.76,2409.61,3662.96,3549.0300000000007,2569.85
2026-01-01,2452.34,2311.48,3021.0,3502.71,2156.08,3893.1,1720.81,3215.05,2524.63,3689.46,3875.59,2606.54
2026-01-02,2436.56,2273.76,3021.0,4013.03,2164.78,3680.31,1705.71,3234.4,2569.19,3699.4999999999995,3554.7199999999993,2568.43
2026-01-03,2371.61,2353.17,2110.0,3525.0700000000006,2214.13,3902.2299999999996,1681.04,3298.5,2878.73,3764.9700000000003,3566.73,2602.89
2026-01-04,2372.75,2335.26,2110.0,2692.17,2050.29,3902.2299999999996,1755.74,3248.59,2660.2,3764.9700000000003,3582.18,2541.78
2026-01-05,2407.19,2348.49,2209.0,3233.8,2111.01,3527.82,1688.75,3363.76,2531.29,3555.61,3585.01,2586.89
2026-01-06,2777.58,2319.45,2429.0,4239.61,2308.88,3747.1200000000003,1658.8,3368.02,2553.33,3605.9,3646.2999999999997,2611.98
2026-01-07,2292.62,2326.31,3180.0,4034.8199999999997,2124.47,3766.2000000000003,1674.08,3613.94,2597.84,3596.65,3614.2200000000003,2593.87
2026-01-08,2375.55,2296.42,2349.32,4276.77,2178.27,3550.4700000000003,1653.18,2993.71,2546.64,3650.41,3550.43,2600.51
2026-01-09,2460.92,2297.51,2322.0,4270.42,2293.12,3958.7,1648.32,3373.7,2535.48,3421.6000000000004,3575.22,2603.46
2026-01-10,2357.94,2218.13,2341.0,3657.29,2254.39,3269.33,1691.56,3528.86,2436.44,3710.79,3534.63,2562.91
2026-01-11,2326.07,2276.0299999999997,2341.0,4914.3,2276.09,3709.77,1700.3500000000001,3294.0,2795.64,4600.0,3417.87,2532.11
2026-01-12,2241.44,2279.09,3414.8400000000006,3622.04,2313.91,3752.12,1646.53,3229.18,2478.34,3781.3200000000006,3699.2400000000002,2626.15
2026-01-13,2332.21,2320.6800000000003,3414.8400000000006,4124.03,2434.34,4167.88,1654.71,3590.8,2466.5,3613.94,3677.6300000000006,2606.46
2026-01-14,2359.25,2175.78,3414.8400000000006,3566.2699999999995,2313.53,3910.63,1722.58,3489.89,2428.18,3557.78,3744.9,2591.74
2026-01-15,2158.07,2178.07,3414.8400000000006,3605.54,2322.17,4126.26,1636.2,3788.57,2526.36,3453.3,3684.05,2597.87
2026-01-16,2272.22,2286.44,3414.8400000000006,3019.61,2444.57,4310.11,1642.85,3781.01,2463.72,3782.05,3470.93,2631.65
2026-01-17,2211.51,2182.03,3582.0,2503.37,2446.37,4242.09,1656.69,3689.48,2711.13,3616.7,3559.48,2588.84
2026-01-18,2329.54,2177.44,3582.0,2880.58,2417.45,4749.23,1657.13,3758.86,3189.23,4886.0,3481.92,2531.24
2026-01-19,2245.24,2290.38,2929.52,3605.96,2387.48,4202.26,1642.22,3504.37,2559.88,3517.86,3697.66,2615.68
2026-01-20,2250.41,2121.13,3000.0,4074.5200000000004,2343.69,4183.06,1633.32,3689.59,2575.37,3471.2799999999997,3879.96,2608.03
2026-01-21,2251.15,2317.26,2762.1599999999994,3866.99,2345.0399999999995,4142.85,1649.94,3738.94,2653.58,3615.38,3859.98,2570.88
2026-01-22,2171.53,2293.98,2521.56,2406.26,2458.82,4316.96,1651.55,3808.22,2591.16,3601.1799999999994,3993.52,2565.47
2026-01-23,2051.95,2282.41,2603.79,2971.38,2214.61,4199.46,1631.0200000000002,3232.74,2498.31,3717.9999999999995,3465.0500000000006,2553.55
2026-01-24,2252.19,2262.36,2624.0,3893.31,2499.78,4274.86,1651.57,3782.69,2476.77,5231.0,3811.38,2553.11
2026-01-25,2329.03,2277.61,2624.0,2237.5,2353.95,4250.0,1658.98,3968.86,3053.68,4886.0,3502.46,2486.52
2026-01-26,1981.5,2310.0,2624.0,2886.12,2314.41,4000.0,1702.23,3845.46,2573.95,4886.0,3107.92,2511.39
2026-01-27,2322.03,2236.09,3144.5099999999998,2914.2,2286.18,4327.65,1678.23,3428.65,2583.53,3426.31,4057.78,2553.31
2026-01-28,2246.32,2287.78,2500.0,4249.72,2365.79,4321.42,1648.4,4018.6,2610.49,3538.6200000000003,4259.73,2574.9
2026-01-29,2196.29,2309.5,2516.28,2548.2,2328.43,4197.84,1613.63,3712.77,2626.34,3773.68,3626.1900000000005,2538.66
2026-01-30,2362.49,2261.98,2192.22,3628.2199999999993,2347.59,4310.84,1646.86,3398.65,2558.61,3705.5399999999995,3678.3800000000006,2526.23
2026-01-31,2256.82,2296.49,2300.0,3237.72,2364.92,3450.44,1763.7799999999997,3254.15,2390.01,3479.8399999999997,3926.99,2517.6
2026-02-01,2335.61,2309.29,2300.0,2796.73,2401.62,3450.44,1638.0,3368.28,2982.73,3500.55,3751.34,2445.46
2026-02-02,2272.5,2228.91,2446.74,3823.69,2319.89,4294.41,1649.06,3668.52,3173.81,3543.64,4000.03,2540.18
2026-02-03,2240.26,2286.32,2169.0,4363.31,2339.9,4367.05,1600.2000000000003,3775.79,2808.01,3530.3499999999995,4179.36,2539.49
2026-02-04,2315.06,2342.94,2360.0,3170.48,2327.38,4344.78,1641.34,3756.13,3320.71,3546.0,4099.9,2536.62
2026-02-05,2211.73,2459.98,2369.0,4105.17,2389.9,4507.89,1614.22,4095.46,3249.67,3461.46,4147.44,2563.81
2026-02-06,2156.46,2266.2,1720.0,4506.72,2461.95,4411.53,1579.65,3993.09,2496.52,3454.58,4231.52,2531.8
2026-02-07,2162.13,2275.6199999999994,2297.0,4088.24,2406.78,4300.0,1621.5099999999998,3889.87,3096.85,3605.5499999999997,3642.73,2488.56
2026-02-08,2071.31,2203.92,2297.0,2899.8,2287.5,4404.3,1675.17,3407.08,2866.08,3493.71,3307.02,2464.44
2026-02-09,2268.71,2269.8,2031.26,3607.8700000000003,2259.12,4451.92,1601.25,3940.64,2549.21,3610.6099999999997,4282.83,2525.66
2026-02-10,2230.01,2299.85,2250.0,3990.07,2299.54,3663.03,1579.88,3931.72,3073.11,3417.6299999999997,4586.36,2526.61
2026-02-11,2165.43,2237.6200000000003,2240.0,4020.34,2284.98,4314.71,1604.04,3757.3,3107.86,3584.1300000000006,4152.41,2506.03
2026-02-12,2147.19,2201.42,2240.0,4191.56,2378.74,4175.31,1593.4600000000003,3919.58,3058.67,3541.2600000000007,4702.24,2486.1
2026-02-13,2160.57,2258.67,2240.0,3701.4999999999995,2297.22,3934.3800000000006,1565.33,3922.78,3188.51,2927.27,4041.22,2496.08
2026-02-14,2219.09,2208.31,2240.0,4316.85,2434.5,4328.9,1624.92,3501.11,3191.01,4527.44,4245.36,2446.2
2026-02-15,2030.6499999999999,2350.0,2240.0,2590.0,2434.5,4400.0,1757.96,4279.81,2290.34,4527.44,4011.1700000000005,2484.18
2026-02-16,2067.11,2226.66,2400.0,4016.04,2274.85,4414.31,1587.08,4295.72,3006.04,3578.6300000000006,3720.4299999999994,2492.92
2026-02-17,2111.86,2240.56,2400.0,4650.74,2550.0,3645.6599999999994,1576.16,4169.61,3353.56,3572.3900000000003,4039.2100000000005,2497.53
2026-02-18,2265.55,2265.93,3070.0,4227.91,2441.42,3829.1799999999994,1583.19,3989.6,3325.14,3515.22,3659.5899999999997,2446.04
2026-02-19,1949.77,2172.58,3070.0,4481.1,2278.92,4316.32,1578.55,3969.12,3190.75,3524.02,3365.5199999999995,2420.12
2026-02-20,2117.05,2181.09,1500.0,4497.66,2238.82,4386.57,1594.5500000000002,4276.84,3039.84,3490.95,3996.16,2466.23
2026-02-21,1985.55,2159.11,1700.0,4165.19,2197.71,4176.68,1611.23,4366.88,3140.97,3437.64,4032.41,2440.68
2026-02-22,2007.69,1933.93,1700.0,3466.6700000000005,2295.12,4277.9,1661.65,3618.94,2439.8,3508.77,3862.32,2307.04
2026-02-23,2229.12,2110.48,1890.74,3909.8,2289.09,3641.0599999999995,1589.93,4235.81,2979.87,3424.5800000000004,3589.22,2443.82
2026-02-24,2215.12,2095.53,2129.0,3893.86,2226.53,4313.2,1619.68,3992.31,3133.3,3370.19,4034.92,2448.52
2026-02-25,2150.87,2072.48,2189.0,3952.0999999999995,2168.57,4296.55,1609.59,3498.51,3096.37,3373.08,3662.74,2395.17
2026-02-26,2128.71,2101.23,2189.0,4345.01,2259.8,4171.68,1604.7,3937.53,2998.25,3425.39,3988.59,2395.48
2026-02-27,2103.95,1979.5300000000002,2684.88,4103.3,2292.22,4155.6,1616.64,3768.67,2819.7,3596.05,2745.1,2350.25
2026-02-28,2410.99,1841.78,2850.0,4147.65,2121.51,4400.0,1773.42,4342.49,2700.75,3519.0300000000007,2707.12,2361.44
2026-03-01,1860.1,1900.0,2850.0,3686.75,2049.8,4400.0,1668.59,4604.01,2633.67,3443.6900000000005,3677.0,2313.86
2026-03-02,2477.2,1913.16,1859.14,4250.14,2205.24,4300.21,1671.8499999999997,4401.48,2831.2,3471.14,4625.07,2316.5
2026-03-03,2077.26,1850.0,2625.0,4638.96,2205.24,4300.21,1685.46,4401.48,2181.1,3462.53,3852.27,2384.31
2026-03-04,2275.65,1828.43,1500.0,4147.74,2205.24,4300.21,1748.36,4401.48,2292.04,3562.05,4099.27,2607.49
2026-03-05,2113.02,1899.47,2109.0,3947.54,2200.0,4300.21,1652.04,2520.0,2845.87,3579.31,4447.54,2322.72
2026-03-06,1999.77,1884.42,2491.35,3778.74,2204.49,4200.0,1642.26,3823.13,2949.15,3478.2,4287.26,2303.46
2026-03-07,1939.98,1888.93,5702.789999999999,3902.6400000000003,2224.83,4200.0,1676.15,4237.35,3123.36,3432.75,4069.07,2300.04
2026-03-08,1870.31,1873.36,5702.789999999999,3689.0299999999997,2224.83,4200.0,1894.79,2450.0,2362.6,3452.63,3587.62,2344.0
2026-03-09,2031.22,1900.25,2425.0,4443.78,2243.29,4198.15,1651.31,4457.1,2869.37,3497.0099999999998,4079.4499999999994,2317.2
2026-03-10,2034.16,1987.24,2989.99,3891.9899999999993,2266.14,4348.81,1692.07,3896.32,2872.61,3432.06,4203.4,2335.11
2026-03-11,2107.51,1987.18,3230.0,3727.6899999999996,2000.0,4446.79,1691.14,3547.89,2744.38,3458.94,4019.5,2350.95
2026-03-12,2058.02,2005.27,1879.9999999999998,4093.98,2089.15,4160.0,1689.36,4008.0,2767.27,3424.5800000000004,3979.2199999999993,2355.91
2026-03-13,2240.26,2039.44,2097.0,3818.34,1891.33,4408.44,1889.94,3998.12,2357.61,3486.63,3777.75,2349.65
2026-03-14,2095.52,2088.87,2097.0,3388.8000000000006,2126.12,4442.54,1637.7600000000002,4100.0,2807.5,3429.91,4128.48,2361.14
2026-03-15,1971.47,2010.68,2097.0,2813.05,2248.67,4320.0,1704.58,4113.8,2409.84,3438.12,3627.3999999999996,2323.73
2026-03-16,2143.62,2033.12,2030.39,3677.9200000000005,2223.31,4320.0,1734.7,3474.85,2446.87,3368.83,3793.55,2353.8
2026-03-17,2208.88,2015.08,2106.67,4005.11,2082.47,4367.86,1690.51,3249.32,2682.42,3401.7099999999996,4366.51,2337.99
2026-03-18,2041.97,2014.93,2106.67,4007.69,2216.2,3975.72,1716.41,3808.26,2600.7,3529.94,3346.1600000000003,2344.55
2026-03-19,2033.83,1964.67,2500.0,3766.2000000000003,2270.0,4266.01,1704.66,3581.93,2613.57,3114.31,4051.4,2335.91
2026-03-20,2275.78,2029.64,2500.0,3665.55,2329.29,4179.85,1727.81,3596.15,2332.96,3292.73,4426.88,2403.95
2026-03-21,2246.37,2024.22,2500.0,2411.14,2116.59,4200.0,1729.22,2550.0,2028.0199999999998,3272.89,4278.66,2349.31
2026-03-22,1917.8,1975.23,2500.0,2863.76,2024.71,4300.0,1770.72,2520.0,2395.92,3243.21,3504.13,2286.19
2026-03-23,2175.32,1924.73,2303.82,3400.54,2201.56,4208.72,1762.75,2597.42,2453.44,3168.99,3809.77,2335.04
2026-03-24,2263.87,1981.0,3280.0,3734.1899999999996,2165.52,3866.96,1740.17,2407.98,2515.28,3234.31,4297.81,2348.58
2026-03-25,2326.83,1906.62,2416.69,3486.04,2085.93,3646.4199999999996,1721.73,2530.0,2517.12,3278.47,4370.22,2348.46
2026-03-26,2300.67,1943.52,2944.3,3888.78,2153.14,4337.81,1718.47,2413.33,2394.75,3115.09,2639.14,2358.6
2026-03-27,2138.98,1921.08,3149.9999999999995,3432.45,2182.7,4303.6,1761.01,4293.16,2250.35,3413.75,3722.26,2418.54
2026-03-28,2365.07,1967.9199999999998,2220.63,3831.15,2157.29,4303.6,1703.04,4407.74,2560.29,3163.03,4428.32,2441.66
